ArraySize,ThreadCount,AverageTime,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20
1000,1,1.048,11.294,0.462,0.514,0.575,0.417,0.535,0.626,0.500,0.508,0.443,0.484,0.459,0.520,0.487,0.610,0.547,0.488,0.462,0.464,0.564
1000,2,0.726,0.635,0.672,0.683,0.896,0.789,0.676,0.837,0.620,0.688,0.728,0.637,0.627,0.854,0.893,0.599,0.751,0.780,0.640,0.777,0.733
1000,4,1.162,1.122,0.997,1.158,1.155,1.028,1.312,1.104,1.313,0.976,1.226,1.414,1.002,1.086,1.203,1.099,0.946,1.363,1.442,1.011,1.293
1000,8,1.839,1.703,1.772,1.634,1.706,1.793,1.914,1.875,2.068,2.066,1.675,1.762,2.447,1.962,1.658,1.961,1.689,1.943,1.940,1.664,1.551
1000,16,3.097,2.886,2.857,2.995,2.954,2.857,3.185,3.022,3.115,3.164,3.196,2.879,3.277,3.381,3.245,3.289,3.103,3.040,3.252,3.204,3.049
10000,1,0.497,0.422,0.608,0.403,0.573,0.435,0.647,0.550,0.428,0.407,0.436,0.616,0.436,0.599,0.414,0.518,0.434,0.584,0.480,0.450,0.488
10000,2,0.687,0.527,0.790,0.762,0.653,0.806,0.800,0.667,0.550,0.593,0.632,0.813,0.582,0.801,0.639,0.658,0.642,0.624,0.874,0.752,0.582
10000,4,1.082,0.945,1.116,0.883,1.273,1.226,0.923,1.328,1.152,0.874,1.072,0.926,0.985,1.129,1.305,1.334,1.157,0.932,0.975,1.086,1.020
10000,8,1.767,1.615,1.498,1.731,2.020,1.666,1.569,1.806,1.907,1.756,1.582,1.654,1.978,1.968,1.737,1.668,1.956,2.162,1.663,1.668,1.740
10000,16,3.095,2.965,3.255,3.110,3.017,3.117,3.063,3.192,3.402,3.294,3.138,3.069,3.069,2.942,3.010,2.996,3.157,3.113,3.099,2.945,2.943
100000,1,0.521,0.370,0.560,0.543,0.441,0.549,0.421,0.570,0.693,0.389,0.489,0.706,0.478,0.601,0.476,0.542,0.460,0.608,0.549,0.433,0.530
100000,2,0.670,0.532,0.881,0.596,0.631,0.730,0.545,0.591,0.607,0.588,0.650,0.814,0.828,0.608,0.812,0.602,0.718,0.531,0.731,0.596,0.803
100000,4,0.983,0.882,0.958,0.828,1.180,0.934,0.992,0.979,0.948,0.984,0.893,0.866,1.037,0.950,1.067,1.038,1.038,0.962,1.071,1.116,0.931
100000,8,1.677,1.563,1.683,1.639,1.789,1.544,1.651,1.715,1.784,1.546,1.606,1.767,1.658,1.499,2.009,1.543,1.599,1.619,1.734,1.876,1.726
100000,16,3.042,2.867,2.912,2.698,2.797,2.715,3.122,3.102,3.589,3.278,3.130,3.064,2.868,3.180,3.108,3.424,3.291,2.817,2.861,2.988,3.036
1000000,1,0.713,0.561,0.716,0.696,0.642,0.802,0.587,0.582,0.774,0.608,0.755,0.827,0.652,0.794,0.654,0.851,0.798,0.786,0.711,0.831,0.636
1000000,2,0.651,0.605,0.692,0.564,0.579,0.565,0.568,0.727,0.695,0.698,0.586,0.598,0.710,0.573,0.547,0.782,0.547,0.697,0.765,0.774,0.758
1000000,4,0.959,0.851,0.851,0.873,0.911,0.893,0.913,0.851,1.244,0.996,0.843,0.931,0.862,0.926,1.126,0.974,0.986,1.283,1.027,0.902,0.938
1000000,8,1.675,1.871,1.531,1.602,1.843,1.873,1.537,1.823,1.714,1.784,1.901,1.492,1.534,1.808,1.605,1.712,1.476,1.585,1.662,1.582,1.570
1000000,16,3.104,2.842,3.192,3.102,2.852,2.818,2.946,3.034,2.911,2.957,2.931,4.719,2.888,2.770,3.012,3.003,2.920,3.167,3.203,3.339,3.475
